"","yearmon","nombre.Agencia","Total"
"506",2011-02-01,"VILLAVICENCIO",16047.632
"507",2011-03-01,"VILLAVICENCIO",23032.838
"508",2011-04-01,"VILLAVICENCIO",16717.158
"509",2011-05-01,"VILLAVICENCIO",19405.08
"510",2011-06-01,"VILLAVICENCIO",16969.748
"511",2011-07-01,"VILLAVICENCIO",18525.764
"512",2011-08-01,"VILLAVICENCIO",17815.482
"513",2011-09-01,"VILLAVICENCIO",18964.19
"514",2011-10-01,"VILLAVICENCIO",18430.376
"515",2011-11-01,"VILLAVICENCIO",20577.896
"516",2011-12-01,"VILLAVICENCIO",15481.558
"517",2012-01-01,"VILLAVICENCIO",21713.711
"518",2012-02-01,"VILLAVICENCIO",17952.922
"519",2012-03-01,"VILLAVICENCIO",17345.146
"520",2012-04-01,"VILLAVICENCIO",19518.908
"521",2012-05-01,"VILLAVICENCIO",19083.758
"522",2012-06-01,"VILLAVICENCIO",20582.128
"523",2012-07-01,"VILLAVICENCIO",22930.458
"524",2012-08-01,"VILLAVICENCIO",19555.834
"525",2012-09-01,"VILLAVICENCIO",21004.604
"526",2012-10-01,"VILLAVICENCIO",21753.984
"527",2012-11-01,"VILLAVICENCIO",22549.538
"528",2012-12-01,"VILLAVICENCIO",23133.016
"529",2013-01-01,"VILLAVICENCIO",20553.36
"530",2013-02-01,"VILLAVICENCIO",19831.834
"531",2013-03-01,"VILLAVICENCIO",28159.195
"532",2013-04-01,"VILLAVICENCIO",22951.618
"533",2013-05-01,"VILLAVICENCIO",25453.41
"534",2013-06-01,"VILLAVICENCIO",20423.792
"535",2013-07-01,"VILLAVICENCIO",22423.33
"536",2013-08-01,"VILLAVICENCIO",24668.676
"537",2013-09-01,"VILLAVICENCIO",23547.152
"538",2013-10-01,"VILLAVICENCIO",27430.35
"539",2013-11-01,"VILLAVICENCIO",28936.471
"540",2013-12-01,"VILLAVICENCIO",36363.684
"541",2014-01-01,"VILLAVICENCIO",30641.645
"542",2014-02-01,"VILLAVICENCIO",32326.334
"543",2014-03-01,"VILLAVICENCIO",33451.83
"544",2014-04-01,"VILLAVICENCIO",35906.428
"545",2014-05-01,"VILLAVICENCIO",25827.427
"546",2014-06-01,"VILLAVICENCIO",26232.531
